"Badshahpur          ","05.30E","077.03E","28.24N"
"Badshahpur (u.p)    ","05.30E","082.49E","25.46N"
"Badulla (sl)        ","05.30E","081.03E","06.55N"
"Baduragoda (sl)     ","05.30E","080.04E","07.10N"
"Baduraliya (sl)     ","05.30E","080.14E","06.27N"
"Badwel              ","05.30E","079.02E","14.46N"
"Bagaha              ","05.30E","084.04E","27.08N"
"Bagalkot  (kr)      ","05.30E","075.45E","16.12N"
"Bagapar             ","05.30E","083.31E","27.13N"
"Bagastha            ","05.30E","071.00E","21.30N"
"Bagaura             ","05.30E","084.30E","26.02N"
"Bagawanthalawa (sl) ","05.30E","080.40E","06.44N"
"Bagchini            ","05.30E","077.49E","26.30N"
"Bagda               ","05.30E","086.42E","23.11N"
"Bagepalli           ","05.30E","077.48E","13.46N"
"Bageshwar           ","05.30E","079.46E","29.50N"
"Bagevadi  (kr)      ","05.30E","076.05E","16.33N"
"Bagh (kashmir)      ","05.30E","073.49E","34.00N"
"Bagh (m.p)          ","05.30E","074.49E","22.22N"
"Baghar              ","05.30E","083.07E","26.25N"
"Baghauli            ","05.30E","080.18E","27.14N"
"Baghdad (iraq)      ","03.00E","044.27E","33.20N"
"Baghel tal lake     ","05.30E","081.44E","27.24N"
"Baghi (h.p)         ","05.30E","077.33E","31.14N"
"Baghi (p.b)         ","05.30E","077.24E","31.38N"
"Baghmundi           ","05.30E","086.04E","23.11N"
"Baghpat             ","05.30E","077.14E","28.56N"
"Bagodar             ","05.30E","085.50E","24.04N"
"Bagor               ","05.30E","074.03E","25.22N"
"Bagra-kote          ","05.30E","088.36E","26.53N"
"Bagru               ","05.30E","075.36E","26.49N"
"Bagsoti             ","05.30E","084.54E","24.31N"
"Bah                 ","05.30E","078.36E","26.52N"
"Bahadurganj         ","05.30E","087.49E","26.17N"
"Bahadurgarh         ","05.30E","076.54E","28.42N"
"Bahadurpur          ","05.30E","076.42E","27.41N"
"Bahalda             ","05.30E","086.10E","22.22N"
"Bahama is.          ","05.00W","074.00W","23.00N"
"Bahera              ","05.30E","086.08E","26.05N"
"Baheri (bihar)      ","05.30E","086.03E","25.57N"
"Baheri (u.p)        ","05.30E","079.30E","28.43N"
"Bahl (h.p)          ","05.30E","076.56E","31.46N"
"Bahl (pb.)          ","05.30E","075.39E","28.38N"
"Bahlada             ","05.30E","034.22E","22.12N"
"Bahraich            ","05.30E","081.36E","27.35N"
"Bahrain             ","03.00E","051.00E","26.00N"
"Bahramghat          ","05.30E","081.27E","27.07N"
"Bahrar              ","05.30E","077.27E","25.42N"
"Bahua               ","05.30E","080.38E","25.51N"
"Baidaura            ","05.30E","078.24E","25.22N"
"Baihar              ","05.30E","080.36E","22.04N"
"Baijal              ","05.30E","086.22E","24.52N"
"Baijnath (pb)       ","05.30E","076.40E","32.02N"
"Baijnath (u.p)      ","05.30E","079.37E","29.55N"
"Baikunthpur         ","05.30E","081.25E","24.43N"
"Baindur             ","05.30E","074.38E","13.53N"
"Baiohari            ","05.30E","081.23E","24.00N"
"Bairagnia           ","05.30E","085.16E","26.45N"
"Bairat              ","05.30E","076.11E","27.27N"
"Bajana (m.r)        ","05.30E","071.47E","23.06N"
"Bajna (m.p)         ","05.30E","074.39E","23.21N"
"Bajranggarh         ","05.30E","077.17E","24.36N"
"Bakewar             ","05.30E","079.10E","26.40N"
"Bakhasar            ","05.30E","071.11E","24.42N"
"Bakhtiarpur         ","05.30E","085.32E","25.28N"
"Bakloh              ","05.30E","075.56E","32.28N"
"Baksa daur          ","05.30E","089.39E","36.43N"
"Bala                ","05.30E","093.56E","27.51N"
"Baladhan            ","05.30E","093.06E","25.00N"
"Balagalle (sl)      ","05.30E","080.02E","07.10N"
"Balaghat            ","05.30E","080.16E","21.48N"
"Balahera            ","05.30E","076.50E","26.45N"
"Balakot             ","05.30E","079.23E","23.42N"
"Balalla (sl)        ","05.30E","080.16E","07.45N"
"Balamau             ","05.30E","080.21E","27.10N"
"Balangoda (sl)      ","05.30E","080.42E","06.35N"
"Balapitiya (sl)     ","05.30E","080.02E","06.12N"
"Balapur             ","05.30E","076.51E","20.40N"
"Balasinor           ","05.30E","073.22E","22.59N"
"Balasore            ","05.30E","086.59E","21.31N"
"Baldeogarh          ","05.30E","079.03E","24.45N"
"Balenj              ","05.30E","077.27E","28.57N"
"Balharshah          ","05.30E","079.25E","19.52N"
"Bali (pali-raj)     ","05.30E","072.51E","25.41N"
"Baliapal            ","05.30E","087.20E","21.38N"
"Balkonda (ap)       ","05.30E","078.20E","19.05N"
"Ballabgarh          ","05.30E","077.19E","28.20N"
"Ballia (bihar)      ","05.30E","086.19E","25.26N"
"Ballia (u.p)        ","05.30E","084.09E","25.45N"
"Balliguda           ","05.30E","082.58E","20.12N"
"Bally               ","05.30E","088.20E","22.39N"
"Balod               ","05.30E","081.13E","20.43N"
"Baloda              ","05.30E","082.31E","22.09N"
